Nitawade-meter,Nitawade-cusecs,Balinge-meter,Balinge-cusecs,Shingnapur-meter,Shingnapur-cusecs,RB-Meter,RB-visarg-cusecs,Ichalkaranji-meter,Ichalkaranji-cusecs
540.0378324,10231,538.56,10921,537.2,11010,536.03,11048,538.5,9700
540.0571282,10227,538.4,10998,537.7,11035,536.02,11048,537.6666667,9988
539.5126258,9799,537.95,10784,537.4,10877,536,10913,537,9419
539.6386201,10309,538.4,10833,537.9,10872,536,10913,537,9698
539.9521278,9964,537.95,10679,537.07,10707,535.98,10777,533.5,9613
540.1811655,10142,538.25,10746,538,10765,535.98,10777,536.75,9580
540.4145745,9990,539.16,10720,537.8,10744,535.98,10777,537.25,9393
540.1297251,9859,538.56,10672,529.8,10683,535.98,10777,537,9544
539.8035369,9679,537.79,10401,537.4,10456,535.92,10505,537,9445
539.1331906,9508,537.18,10385,537,10411,535.92,10505,536,9216
538.9461239,9729,537.64,10331,537.5,10406,535.92,10505,539.8333333,9454
539.2994887,9696,537.95,10422,537.4,10464,535.92,10505,535,9349
539.9383733,9379,538.1,10080,527.57,10174,535.87,10233,536.75,8977
539.9594067,9381,538.4,10119,538.7,10147,535.87,10233,536,8902
538.9916796,9126,537.64,9883,537.6,9961,535.82,9963,535,8817
540.2168409,9152,538.86,9852,537.04,9872,535.82,9962,537.5,8781
540.543827,9067,539.16,9885,537.5,9899,535.82,9962,537,8688
540.6677466,9089,538.71,9790,537.5,9870,535.82,9962,539,8739
541.5202975,9146,539.62,9770,537.8,9867,535.82,9962,536,8475
540.0689184,9276,538.25,9894,537.7,9921,535.82,9962,535.5,8634
539.2749141,9306,537.95,9844,537.2,9906,535.82,9961,539.5,8761
540.0161685,9010,538.56,9818,537.5,9895,535.82,9961,538.8333333,8767
539.8236104,9231,537.95,9883,539.8,9915,535.82,9932,536.8333333,8905
539.3235058,8915,537.49,9669,536.09,9741,535.8,9828,540,8638
538.8081837,9075,537.34,9671,537.2,9743,535.8,9826,539.8333333,8721
539.363391,9115,537.79,9716,537,9748,535.8,9825,539.6666667,8336
540.7234498,9019,538.86,9658,537.03,9682,535.77,9690,539,8410
